population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Comoe;W;Cote dIvoire;8.841651;-3.70789;Termite fishing;Epigaiec termitefishing;Termitefish;Termitefish;Termite;1;NA;NA;NA;12;18;Termite fishingepigaeic;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Termite fishing;Underground termitefishing;Termitefish;Termitedig;Termite;NA;NA;NA;NA;12;18;Termite fishingunder;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Termite perforating;Epigaiec termitefishing;Termiteperforate;Termitefish;Termite;0;NA;0;NA;10;18;Termite perforating;Perforate
Comoe;W;Cote dIvoire;8.841651;-3.70789;Termite puncturing;Underground termitefishing;Termitepuncture;Termitedig;Termite;0;NA;0;NA;10;18;Termite puncturing;Dig
Comoe;W;Cote dIvoire;8.841651;-3.70789;Wood pound;Woodpound;Smash;Smash;Smash;1;NA;NA;NA;1;1;Wood pound;Smash
Dindefelo;W;Senegal;12.36026396;-12.39585383;Ant dipping;Driver antnest;Antdip;Antdip;Ant;NA;NA;NA;NA;8;10;Ant dippingnest;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Ant fishingprobe;Arboreal ants;Antfishing;Antfish;Ant;NA;NA;NA;NA;7;7;Ant fishingprobe;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Ant perforatingstick;Driver antnest;Antperforate;Antdip;Ant;NA;NA;NA;NA;6;10;Ant perforatingstick;Perforate
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey dig;Underground honeydig;Honeydig;Honeydig;Honey;NA;NA;NA;NA;6;10;Honey dig;Perforate
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey dip;Underground stinglessbee;Honeydip;Honeydig;Honey;NA;NA;NA;NA;8;12;Honey dipumeli;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey dipaerial;Aerial honey;Honeydip;Honeydip;Honey;NA;NA;NA;NA;22;36;Honey dipameli;Dip
